Organisation unit,avdhr,avdlr,ba,bu,gud,gw,lap,nc,other,ss,syph,ud,rec,dorm,Longtitude,Latitude,District
Kasese Health centre,5,5,0,0,2,0,6,0,0,0,1,18,23,3,33.57629,-13.33338,Dowa-DHO
Kaseye Mission Hospital,15,0,0,0,2,0,13,3,3,0,3,6,9,5,33.37361,-9.66644,Chitipa-DHO
Kasina Health Centre,14,2,0,0,14,0,6,0,0,0,11,23,25,25,34.13183,-14.143,Dedza-DHO
Kasinje Health Centre,43,8,0,0,21,0,2,0,2,7,30,73,81,51,34.67642,-14.52315,Ntcheu-DHO
Kasitu Dispensary,1,0,0,1,6,1,9,1,0,1,4,14,16,11,34.0343,-12.30938,Nkhotakota-DHO
Kasoba Health Centre,19,0,0,0,12,0,91,0,1,0,8,34,34,20,33.86972,-9.87355,Karonga-DHO
Kasungu District Hospital,424,107,40,8,132,18,273,3,125,26,232,348,466,382,33.48041,-13.03579,Kasungu-DHO
Katawa Health Centre,13,46,0,1,32,0,10,0,4,1,3,50,97,35,34.31801,-13.71314,Salima-DHO
Katchale Health Centre,44,4,0,0,9,1,23,0,0,5,6,35,39,16,33.90782,-14.2836,Lilongwe-DHO
Katema Health Centre,3,3,0,0,8,0,3,3,0,0,7,11,17,15,35.03761,-14.52563,Mangochi-DHO
Katete Rural Hospital,2,1,0,0,3,0,1,0,1,2,1,1,2,4,33.61421,-12.34592,Mzimba-South-DHO
Katimbila Health Centre,14,2,0,1,7,0,11,0,0,1,2,6,9,9,34.21737,-12.75694,Nkhotakota-DHO
Katowo Rural Hospital,8,2,1,0,15,0,1,0,1,1,7,26,28,22,33.52222,-10.81278,Rumphi-DHO
Katsekera Health Centre,17,12,0,0,17,0,2,0,9,0,2,62,74,19,34.64072,-15.03336,Ntcheu-DHO
Katuli Health Centre,9,9,0,1,6,0,16,0,4,0,43,5,15,49,35.44476,-14.17962,Mangochi-DHO
Kaundu Health Centre,0,2,0,0,13,0,11,0,0,0,1,7,9,14,34.62839,-14.29368,Dedza-DHO
Kavuzi Health Centre,7,12,8,0,3,0,8,0,5,4,1,15,27,4,34.08166,-11.67441,Nkhata-Bay-DHO
Kawale Urban Health Centre,203,32,3,1,43,1,182,0,43,5,41,228,261,85,33.79757,-13.99175,Lilongwe-DHO
Kawamba Health Centre,63,1,0,0,2,0,2,5,1,1,6,35,41,8,33.3393,-13.29575,Kasungu-DHO
Kawinga Dispensary,42,8,0,0,15,1,11,0,1,0,12,31,39,28,35.57198,-14.85468,Machinga-DHO
Kayembe Health Centre,23,8,9,0,5,0,39,0,23,0,0,27,35,5,33.58301,-13.64256,Dowa-DHO
Kazyozyo Dispensary,7,0,0,0,6,0,7,0,5,0,0,9,9,6,32.86387,-13.57544,Mchinji-DHO
Khola Health Centre,42,8,0,0,7,0,10,0,0,0,3,40,48,10,33.31649,-13.34447,Kasungu-DHO
Khombedza Health Centre,46,33,3,0,13,0,23,0,15,1,24,90,123,37,34.31111,-13.59695,Salima-DHO
Khondowe Health Centre,1,0,0,0,1,0,1,0,0,0,0,5,5,1,34.21939,-11.07281,Nkhata-Bay-DHO
Khongoni Health Centre,18,14,0,0,9,0,3,0,2,0,8,22,36,17,33.36761,-13.77451,Lilongwe-DHO
Khonjeni Health Centre,52,25,0,0,40,0,29,0,21,0,3,53,78,43,35.28876,-16.1003,Thyolo-DHO
Khosolo Health Centre,11,14,0,1,5,0,0,0,0,1,3,19,34,8,33.79133,-12.4402,Mzimba-South-DHO
Khuwi Health Centre,47,17,6,1,10,0,14,0,0,1,8,21,39,18,33.83367,-13.43192,Ntchisi-DHO
Khuyukuyu Health Centre,15,7,0,0,6,0,11,0,13,2,8,25,32,14,33.91461,-11.22183,Mzimba-North-DHO
Koche Health Centre,30,9,0,1,9,0,37,0,8,1,46,30,40,55,35.14335,-14.33343,Mangochi-DHO
Kochilira Rural Hospital,74,0,0,1,72,0,22,0,5,5,25,91,92,97,33.04385,-13.78239,Mchinji-DHO
Kukalanga Dispensary,23,6,1,2,13,0,12,0,0,0,27,33,41,40,35.18031,-14.63744,Mangochi-DHO
Kunenekude Health Centre,38,13,2,0,10,0,43,1,0,4,16,34,48,26,34.39953,-15.72609,Mwanza-DHO
Kwitanda Health Centre,5,11,0,0,24,0,0,0,4,0,15,11,22,39,34.94269,-14.98521,Balaka-DHO
Lakeview Health Centre,20,0,0,1,6,0,33,1,0,0,2,10,12,8,34.55371,-14.64251,Ntcheu-DHO
Lambulira Health Centre,12,6,0,0,28,0,65,1,1,0,40,42,49,68,35.337227,-15.484115,Zomba-DHO
Lengwe Illovo (Private),4,0,0,0,2,0,1,0,0,0,0,9,9,2,34.799659,-16.20039,#N/A
Lifeline Health Centre,13,13,0,2,12,2,14,8,13,3,15,30,53,29,34.54437,-14.09219,Salima-DHO
Lifuwu Health Centre,55,25,4,0,14,1,24,4,4,1,10,63,92,25,34.58878,-13.67915,Salima-DHO
Ligowe Dispensary,34,7,0,0,27,0,7,1,3,0,6,38,46,33,34.74241,-15.47981,Neno-DHO
Likangala Health Centre,39,6,1,0,19,0,15,0,0,1,66,53,59,85,35.54461,-15.42787,Zomba-DHO
Likuni Hospital,63,12,1,1,31,0,20,0,28,0,81,58,71,112,33.70886,-14.02683,Lilongwe-DHO
Limbe Health Centre,204,32,8,1,106,1,96,3,3,9,27,180,216,134,35.051775,-15.816967,Blantyre-DHO
Linyangwa Health Centre,23,14,11,4,8,0,23,0,24,1,0,19,37,8,33.3005,-13.14379,Kasungu-DHO
Lirangwe Health Centre,14,0,0,1,3,0,5,0,0,0,0,15,16,3,35.029841,-15.529384,Blantyre-DHO
Lisungwi Health Centre,35,35,0,0,33,1,32,0,9,2,15,79,114,49,34.774834,-15.43763,Neno-DHO
Liuzi Health Centre,12,1,1,0,1,0,0,0,0,0,0,24,25,1,34.01572,-12.18971,Nkhata-Bay-DHO
Liwaladzi Health Centre,0,1,0,0,0,0,0,0,0,0,0,2,3,0,34.16538,-12.62054,Nkhotakota-DHO
Lizulu Health Centre,41,4,0,4,30,2,19,0,13,5,28,42,50,60,34.46547,-14.51775,Ntcheu-DHO
Lobi Health Centre,30,2,0,1,18,0,6,0,0,0,5,32,35,23,34.07182,-14.39034,Dedza-DHO
Lodjwa Health Centre,10,6,0,0,6,0,3,0,0,0,5,21,27,11,33.52947,-12.41898,Kasungu-DHO
Ludzi St Joseph's Mission Hospital,33,18,1,0,35,0,7,0,26,2,25,54,72,60,32.99271,-13.75862,Mchinji-DHO
Lugola Health Centre,5,1,0,0,7,0,4,0,0,0,9,11,12,16,35.14285,-13.96144,Mangochi-DHO
Lujeri Health Centre,5,10,0,0,7,0,2,0,0,0,1,17,27,8,35.416687,-15.987206,Mulanje-DHO
Lulanga Health Centre,46,5,0,0,18,0,19,0,2,0,19,42,47,37,34.91742,-13.68744,Mangochi-DHO
Lulwe Health Centre,7,0,0,0,5,0,3,0,4,1,11,1,1,16,35.17347,-16.5215,Nsanje-DHO
Lumbadzi Health Centre,35,12,0,2,15,0,11,0,15,1,7,44,58,22,33.80477,-13.77074,Lilongwe-DHO
Lundu Health Centre,16,3,0,0,9,1,5,0,0,0,3,29,32,13,35.01282,-15.421776,Blantyre-DHO
Lungwena Health Centre,43,0,0,0,11,1,1,0,0,0,7,36,36,19,35.24804,-14.24501,Mangochi-DHO
Lunjika Health Centre,1,5,0,0,9,0,9,0,3,0,1,12,17,10,33.6858,-11.71451,Mzimba-South-DHO
Lupembe Health Centre,6,1,0,0,3,0,3,0,0,0,5,11,12,8,33.98778,-10.06628,Karonga-DHO
Lura Health Centre,6,0,1,1,7,0,19,0,0,0,0,8,9,7,34.04408,-10.72638,Rumphi-DHO
Luvwere Dispensary,5,0,0,0,4,0,6,0,0,0,0,17,17,4,33.6729,-11.38921,Mzimba-North-DHO
Luwalika Health Centre,0,0,0,0,4,0,4,0,0,0,0,1,1,4,35.46952,-14.23797,Mangochi-DHO
Luwani Health Centre,12,13,3,0,3,0,12,0,4,0,0,23,36,3,34.62836,-15.55083,Neno-DHO
Luwawa Health Centre,0,12,2,0,17,0,4,0,5,3,4,27,39,21,33.71943,-12.11337,Mzimba-South-DHO
Luwerezi Health Centre,4,12,0,0,10,0,5,2,4,5,2,14,28,12,33.64119,-12.48825,Mzimba-South-DHO
Luwuchi Health Centre,2,6,0,1,2,0,6,0,0,1,2,9,16,4,34.19353,-10.68353,Rumphi-DHO
Luzi Health Centre,2,5,0,0,1,0,6,0,1,0,0,12,17,1,33.95583,-10.99681,Mzimba-North-DHO
Lwazi Health Centre,2,0,0,1,1,0,3,0,2,1,0,3,4,1,34.15115,-11.51864,Nkhata-Bay-DHO
Lwezga Health Centre,10,6,0,0,4,0,12,0,2,0,0,43,49,4,34.17943,-10.56692,Karonga-DHO
M'mambo Heaith Centre,32,5,0,0,9,0,16,0,1,7,2,22,27,11,35.15945,-15.26264,Zomba-DHO
Mabili Health Centre,4,0,0,2,7,0,3,0,8,0,2,13,15,9,33.429958,-12.246195,Mzimba-South-DHO
Machinga District Hospital,209,129,18,1,64,5,139,5,3,7,74,299,434,143,35.2263,-15.06229,Machinga-DHO
Machinga Health Centre,25,8,2,1,14,0,5,0,0,0,12,29,38,26,35.29565,-15.1773,Machinga-DHO
Machinjiri Health Centre,2,9,0,0,16,0,6,0,0,1,7,9,18,23,35.41707,-15.23666,Zomba-DHO
Madede Health Centre,9,0,0,0,4,0,7,0,0,2,0,8,8,4,33.29456,-11.53894,Mzimba-South-DHO
Madisi Hospital,2,35,1,0,17,1,11,1,58,2,25,31,67,43,33.60813,-13.40712,Dowa-DHO
Madziabango Health Centre,16,4,0,0,7,0,10,0,0,0,11,14,18,18,34.908224,-15.967751,Blantyre-DHO
Mafco Health Centre,15,2,0,0,7,0,33,0,7,2,1,36,38,8,34.60338,-13.78419,Salima-DHO
Mafisi clinic,1,9,0,0,4,0,0,0,0,0,0,2,11,4,35.26166,-16.02884,#N/A
Maganga Health Centre,67,3,1,0,3,1,13,0,5,3,9,44,47,13,34.5591,-13.84681,Salima-DHO
Magareta Health Centre,33,9,0,0,10,0,8,0,6,0,7,27,36,17,34.628424,-15.550667,Neno-DHO
Magomero Health Centre,3,5,0,0,4,0,9,0,11,0,3,9,14,7,35.26101,-15.56147,Zomba-DHO
Mahowe Health Centre,3,0,0,1,3,0,2,0,1,2,3,12,13,6,33.690349,-10.183192,#N/A
Makanjira Health Centre,27,17,0,0,13,0,21,0,2,0,21,28,45,34,35.04704,-13.71591,Mangochi-DHO
Makapwa Health Centre,7,4,0,0,4,0,9,0,1,0,10,16,20,14,35.10564,-16.19476,Thyolo-DHO
Makata Health Centre,18,4,0,2,8,0,7,2,0,1,15,37,45,23,35.079569,-15.630027,Blantyre-DHO
Makhanga Health Centre,38,1,0,0,28,0,3,0,0,1,3,36,37,31,35.09671,-16.33721,Nsanje-DHO
Makhwira Health Centre,57,8,4,3,15,0,12,0,2,1,88,42,53,103,35.010538,-16.194877,Chikwawa-DHO
Makiyoni Health Centre,6,0,0,0,10,1,5,0,13,0,7,14,14,18,34.197026,-13.585941,Salima-DHO
Makwapala Health Centre,13,1,0,0,18,0,6,0,2,1,5,24,25,23,35.4506,-15.36938,Zomba-DHO
Makwasa Estate Clinic,0,3,0,0,0,0,0,0,3,0,10,10,13,10,35.11011,-16.17155,#N/A
Malabada Health Centre,2,1,0,1,2,0,1,0,3,0,8,9,11,10,35.044791,-15.767722,#N/A
Malambo Health Centre,17,11,1,1,6,0,2,0,2,2,5,26,38,11,33.76244,-13.21307,Ntchisi-DHO
Malamulo Hospital,111,16,2,1,39,0,43,0,51,0,55,85,102,94,35.01675,-16.03764,Thyolo-DHO
Malembo Health Centre,23,11,0,4,10,0,8,0,0,0,77,27,42,87,34.82524,-14.23628,Mangochi-DHO
Malembo Health Centre (Lilongwe),91,2,3,0,7,0,6,0,5,0,7,61,63,14,33.41507,-13.62006,Lilongwe-DHO
Malidadi Health Centre,10,1,0,1,4,0,11,0,0,2,4,10,12,8,33.49989,-11.22926,Mzimba-North-DHO
Malingunde Health Centre,9,1,0,0,4,0,7,0,0,0,15,13,14,19,33.6397,-14.16887,Lilongwe-DHO
Malombe Dispensary,69,4,0,2,34,0,34,0,1,1,25,63,69,59,35.34912,-14.6305,Mangochi-DHO
Malomo Health Centre,38,29,5,1,14,0,4,2,0,1,9,32,64,23,33.83927,-13.14861,Ntchisi-DHO
Malowa Health Centre,11,8,1,0,12,1,1,0,16,0,2,26,34,15,34.25165,-13.1816,Nkhotakota-DHO
Malukula Health Centre,7,12,1,0,8,0,17,0,0,0,12,16,28,20,35.35582,-14.44362,Mangochi-DHO
Maluwa Health Centre,29,1,2,0,12,3,3,0,2,0,0,11,12,15,33.87364,-14.26287,Lilongwe-DHO
Mangamba Health Centre,41,2,0,0,21,0,7,0,3,9,20,40,42,41,35.43652,-14.79145,Machinga-DHO
Mangochi District Hospital,401,163,24,16,181,13,278,0,108,29,97,387,566,291,35.26527,-14.48191,Mangochi-DHO
Mangulenje Health Centre,0,8,0,2,7,0,5,0,0,0,9,28,38,16,34.9157,-16.10534,#N/A
Manjawira Health Centre,2,5,0,0,14,0,2,0,0,3,0,31,36,14,34.85709,-15.00254,Ntcheu-DHO
Manyamula Health Centre,6,5,1,1,21,0,6,0,0,4,2,18,24,23,33.43945,-11.94005,Mzimba-South-DHO
Maonde Health Centre,18,17,0,0,5,0,18,0,0,0,0,15,32,5,34.11592,-14.4057,Dedza-DHO
Mapanga Health Center,46,3,0,0,3,3,4,0,24,0,2,19,22,8,35.166657,-16.250872,Thyolo-DHO
Maperera Health Centre,53,4,1,0,23,0,10,0,15,2,39,30,34,62,34.87344,-16.27028,Chikwawa-DHO
Masasa Health Centre,6,0,0,1,9,0,2,0,0,0,0,9,10,9,34.42243,-14.4334,Ntcheu-DHO
Mase Health Centre,0,4,0,0,3,0,5,0,0,0,5,10,14,8,35.36386,-14.58096,Mangochi-DHO
Masenjere Health Centre,67,5,2,3,18,0,5,0,0,0,38,69,77,56,35.22079,-16.99464,Nsanje-DHO
Matanda Health Centre,7,4,0,0,6,0,0,0,1,0,0,11,15,6,34.66845,-15.10516,Ntcheu-DHO
Matandani Health Centre,22,3,0,0,18,0,9,0,0,0,4,25,28,22,34.94732,-15.3537,Neno-DHO
Matapila Health Centre,24,3,2,0,8,2,8,0,0,0,21,23,26,31,33.97509,-14.01108,Lilongwe-DHO
Matawale Urban Health Centre,222,63,3,8,85,5,91,1,68,7,151,231,303,241,35.35958,-15.39029,Zomba-DHO
Matiki Health Centre,35,17,10,1,33,0,61,0,17,1,3,43,61,36,34.15464,-12.49874,Nkhotakota-DHO
Matiya Health Centre,26,5,1,0,22,1,16,0,4,1,51,19,24,74,35.5478,-15.53371,Zomba-DHO
Matope Health Centre,47,11,3,1,14,1,14,0,5,1,18,54,66,33,34.60843,-15.43701,Neno-DHO
Matuli Health Centre,1,4,0,0,0,0,4,0,0,0,0,11,15,0,33.89613,-11.48513,Mzimba-North-DHO
Matumba Health Centre,22,6,2,2,13,0,8,0,0,2,0,26,34,13,33.90594,-14.37283,Dedza-DHO
Maula Health Centre,5,2,1,2,5,1,2,0,0,0,4,13,17,10,34.23514,-11.73518,Nkhata-Bay-DHO
Mayaka Health Centre,22,9,2,0,2,1,5,1,0,0,39,7,17,42,35.3728,-15.57355,Zomba-DHO
Mayani Health Centre,32,0,0,0,16,0,1,0,3,0,7,18,18,23,34.24281,-14.09697,Dedza-DHO
Mbabvi Health Centre,30,6,0,1,7,0,8,0,39,3,3,40,47,10,33.67087,-13.92808,Lilongwe-DHO
Mbalachanda Health Centre,33,7,0,1,6,0,8,0,7,0,5,21,29,11,33.37133,-11.35738,Mzimba-South-DHO
Mbang'ombe 1 Health Centre,30,2,0,0,3,0,5,0,0,2,3,18,20,6,33.71382,-13.73673,Lilongwe-DHO
Mbang'ombe 2 Health Centre,5,0,2,0,2,0,12,0,0,0,7,16,16,9,33.37942,-14.16945,Lilongwe-DHO
Mbenje Health Centre,11,15,0,2,49,0,4,0,8,0,1,43,60,50,35.15991,-16.49151,Nsanje-DHO
Mbera Health Centre,19,16,0,1,8,0,18,0,0,1,0,31,48,8,35.18498,-14.92967,Balaka-DHO
Mbingwa Health Centre,6,0,0,1,13,0,50,0,2,0,0,13,14,13,33.51485,-13.54425,Dowa-DHO
Mbiza Health Centre,39,9,0,1,8,0,6,0,0,0,37,26,36,45,35.47826,-16.10264,Mulanje-DHO
Mbonechera Health Centre,15,0,0,0,1,0,1,0,3,0,6,14,14,7,35.47818,-14.88932,Machinga-DHO
Mbulumbudzi Health Centre,32,2,0,0,19,0,8,0,0,0,19,25,27,38,35.15687,-15.63834,Chiradzulu-DHO
Mbwatalika Health Centre,17,10,1,2,23,0,11,0,4,7,11,24,36,34,33.5507,-14.00387,Lilongwe-DHO
Mchima Clinic,0,2,0,0,2,0,1,0,0,1,1,5,7,3,35.07553,-16.09883,#N/A
Mchinji District Hospital,257,151,44,8,131,17,243,11,45,18,52,339,509,200,32.88716,-13.80273,Mchinji-DHO
Mchoka Health Centre,3,4,0,0,9,0,21,0,0,1,4,23,27,13,34.48984,-13.92593,Salima-DHO
Mdeka Health Centre,11,0,0,0,4,0,6,0,0,0,2,20,20,6,34.942566,-15.468134,Blantyre-DHO
Mdeza Dispensary,12,4,0,0,0,0,0,0,0,0,0,8,12,0,33.9677,-14.23517,Dedza-DHO
Mdunga Heallth Centre,0,11,0,0,13,0,7,0,0,0,0,18,29,13,33.8519,-12.9931,Kasungu-DHO
Mfera Health Centre,9,4,0,0,17,0,4,0,1,1,11,18,22,28,34.5372,-16.03775,Chikwawa-DHO
Mganja Maternity,15,2,0,0,3,0,3,0,1,0,0,11,13,3,34.52305,-14.42048,Dedza-DHO
Mhalaunda Health Centre,5,0,1,0,2,1,7,0,2,0,2,8,8,5,33.46656,-12.05118,Mzimba-South-DHO
Mhuju Rural Hospital,11,2,5,0,5,0,10,0,1,1,1,34,36,6,33.99765,-10.86685,Rumphi-DHO
Mianga estate clinic,2,5,0,1,28,1,5,1,7,0,0,10,17,29,35.18367,-15.90149,Thyolo-DHO
Migowi Health Centre,117,50,0,1,31,0,90,0,16,4,152,66,117,183,35.62787,-15.61457,Phalombe-DHO
Mikolongwe Health Centre,20,17,0,0,11,0,3,0,0,0,7,22,39,18,35.125457,-16.018751,Thyolo-DHO
Mikondo Dispensary,4,2,0,0,7,0,3,0,0,0,0,7,9,7,33.93951,-14.44767,Dedza-DHO
Mikundi Health Centre,55,0,0,1,6,0,21,0,2,5,0,53,54,6,33.13821,-13.70751,Mchinji-DHO
Milepa Health Centre,19,12,0,3,22,0,7,0,12,0,45,34,49,67,35.31818,-15.68713,Chiradzulu-DHO
Milonde Health Centre,120,6,0,1,9,0,0,0,0,0,4,146,153,13,35.61263,-16.08574,Mulanje-DHO
Mimosa Dispensary,5,4,0,0,14,0,0,0,0,0,83,11,15,97,35.58444,-16.05676,Mulanje-DHO
Ming'Ongo Health Centre,3,0,2,0,2,0,2,0,0,0,0,0,0,2,33.44838,-14.07479,Lilongwe-DHO
Misomali Health Centre,3,5,0,0,5,0,6,0,3,0,1,11,16,6,35.05789,-16.26884,Chikwawa-DHO
Misuku Health Centre,5,1,0,0,5,0,0,0,0,1,0,13,14,5,33.52076,-9.67977,Chitipa-DHO
Mitundu Rural Hospital,124,14,7,5,34,1,29,2,10,5,21,101,122,56,33.77465,-14.24776,Lilongwe-DHO
Mjini Dispensary,5,0,1,0,1,0,4,0,0,0,0,11,11,1,34.23867,-14.04457,Dedza-DHO
Mkanda Health Centre,121,40,0,1,45,3,71,0,12,4,12,117,158,60,32.96085,-13.5146,Mchinji-DHO
Mkhota R Growth Health Centre,19,5,2,1,20,1,60,0,16,8,0,29,35,21,33.34348,-13.56651,Kasungu-DHO
Mkhuzi Health Centre,17,1,0,0,9,1,27,0,1,0,0,13,14,10,33.77662,-13.36646,Ntchisi-DHO
Mkhwayi Health Centre,66,16,0,5,67,0,31,2,10,0,62,39,62,129,35.61142,-15.7579,Phalombe-DHO
Mkoma Health Centre,107,7,0,1,18,1,4,0,8,2,2,70,78,21,33.7824,-12.61235,Mzimba-South-DHO
Mkumba Health Centre,27,7,2,3,13,0,2,0,0,2,41,24,34,54,35.52517,-14.5946,Mangochi-DHO
Mkwepere Health Centre,2,1,0,0,3,0,2,0,0,0,0,25,26,3,35.63635,-14.60286,Machinga-DHO
Mlale Hospital,7,4,0,0,49,0,19,0,0,1,22,12,16,71,33.75658,-14.23011,Lilongwe-DHO
Mlambe Hospital,10,8,2,0,18,3,67,0,30,2,36,8,16,57,35.017358,-15.644676,Blantyre-DHO
Mlanda Health Centre,0,2,0,0,8,0,0,0,0,0,5,2,4,13,34.45988,-14.47886,Ntcheu-DHO
Mlangali Dispensary,5,1,0,0,5,0,2,0,0,0,2,1,2,7,34.27274,-14.41322,Dedza-DHO
Mlangeni Health Centre,2,5,0,0,7,0,0,0,0,0,0,12,17,7,34.53672,-14.67662,Ntcheu-DHO
Mlare Dispensary,1,0,0,1,2,0,1,0,0,4,0,11,12,2,34.035892,-10.173043,Karonga-DHO
Mlodza SDA Dispensary,3,0,0,0,1,0,3,0,0,0,0,0,0,1,33.8175,-14.007222,#N/A
Mlomba Health Centre,8,2,0,0,11,0,42,0,0,0,20,36,38,31,35.47708,-15.01903,Machinga-DHO
Mlowe Health Centre,1,0,0,0,3,0,5,0,0,0,0,12,12,3,34.19488,-10.76429,Rumphi-DHO
Monkey-Bay Community Hospital,71,15,0,3,30,12,37,0,2,1,17,75,93,59,34.91104,-14.08468,Mangochi-DHO
Mpala Health Centre,48,1,1,2,10,0,6,2,0,0,78,44,49,88,35.412828,-16.003061,Mulanje-DHO
Mpamantha Health Centre,30,0,0,0,4,0,46,0,0,2,0,24,24,4,34.25224,-13.06926,Nkhotakota-DHO
Mpamba Health Centre,25,2,0,0,5,0,3,0,0,0,3,29,31,8,34.19727,-11.54697,Nkhata-Bay-DHO
Mpasa Health Centre,18,8,0,3,9,0,7,3,0,1,29,20,34,38,35.53221,-15.64632,Phalombe-DHO
Mpata Health Centre,2,0,0,0,1,0,1,0,0,0,0,1,1,1,33.81525,-9.96062,Karonga-DHO
Mpemba Health Centre,47,8,1,2,7,0,14,1,8,0,28,45,56,35,34.956435,-15.874953,Blantyre-DHO
Mpepa / Chisinga Health Centre,35,4,1,0,5,0,9,2,0,1,0,24,30,5,33.326917,-12.622028,Kasungu-DHO
Mphathi Health Centre,20,3,0,0,15,0,15,0,1,2,0,23,26,15,34.07683,-14.45516,Dedza-DHO
Mphepozinai Dispensary,11,4,0,0,4,0,0,0,0,0,0,10,14,4,34.66115,-14.73586,Ntcheu-DHO
Mpherembe Health Centre,16,9,2,1,15,1,13,0,0,1,8,23,33,24,33.61431,-11.28806,Mzimba-North-DHO
Mphopha Health Centre,7,2,0,0,7,0,12,0,1,1,0,16,18,7,34.07305,-11.00662,Rumphi-DHO
Mphunzi Health Centre,4,0,0,0,1,0,5,0,0,0,2,5,5,3,34.17539,-14.37933,Dedza-DHO
Mpiri Health Centre,17,7,0,2,4,0,13,0,0,0,3,19,28,7,35.60801,-14.77192,Machinga-DHO
Mpondasi Health Centre,9,6,0,0,15,0,6,0,1,1,7,23,29,22,35.24387,-14.45347,Mangochi-DHO
Mponela Rural Hospital,233,57,3,1,67,3,41,1,46,9,51,253,312,121,33.73713,-13.53264,Dowa-DHO
Mposa Health Centre,23,1,0,6,8,1,21,9,2,1,31,17,33,40,35.51849,-15.14906,Machinga-DHO
Msakambewa Health Centre,7,9,1,0,6,0,3,0,0,1,0,7,16,6,33.89719,-13.55296,Dowa-DHO
Msenjere Health Centre,14,0,0,0,5,0,4,0,0,0,1,20,20,6,34.17062,-12.73248,Nkhotakota-DHO
Msese Health Centre,10,1,1,1,7,0,5,0,2,0,0,16,18,7,33.74002,-12.35951,Mzimba-South-DHO
Msumbe Health Centre,2,0,0,0,0,0,0,0,0,0,0,3,3,0,33.67563,-9.75123,Chitipa-DHO
Mtakataka Health Centre,4,38,0,0,22,0,20,0,4,0,8,40,78,30,34.51474,-14.22745,Dedza-DHO
Mtakataka Police Health Centre,72,12,8,0,29,0,2,0,0,0,3,60,72,32,34.51119,-14.22581,Dedza-DHO
Mtende Health Centre,0,3,0,0,7,0,6,0,0,0,1,5,8,8,33.54894,-11.49724,Mzimba-South-DHO
Mtendere Health Centre,13,18,6,1,27,0,6,0,14,6,8,36,55,35,34.09373,-14.32271,Dedza-DHO
Mtengowanthenga Hospital,21,5,4,1,5,1,9,0,14,0,9,11,17,15,33.775919,-13.671289,Dowa-DHO
Mtenthera Health Centre,42,12,3,0,17,1,51,0,8,0,4,63,75,22,34.00567,-14.10884,Lilongwe-DHO
Mtimabii Health Centre,23,2,0,0,17,0,3,0,0,0,0,29,31,17,35.08273,-14.61111,Mangochi-DHO
Mtonda Health Centre,0,2,0,0,5,0,5,0,0,0,3,7,9,8,34.75144,-15.02,Ntcheu-DHO
Mtosa Health Centre,21,3,0,0,8,0,11,0,2,0,2,15,18,10,34.27365,-13.43876,Nkhotakota-DHO
Mtunthama Health Centre,3,22,0,0,13,0,0,0,0,1,0,25,47,13,33.68209,-13.03145,Kasungu-DHO
Mtwalo Health Centre,11,0,0,0,6,1,2,0,0,0,0,9,9,7,33.74591,-11.39671,Mzimba-North-DHO
Mua Mission Hospital,78,6,0,1,59,2,123,2,16,0,139,142,151,200,34.50972,-14.28307,#N/A
Mulanje District Hospital,112,97,11,3,53,2,41,0,8,10,196,122,222,251,35.673299,-16.057405,Mulanje-DHO
Mulanje Mission Hospital,142,50,0,0,33,1,189,3,74,5,132,44,97,166,35.51182,-15.76535,Mulanje-DHO
Mulibwanji Hospital,18,2,0,1,15,0,6,0,0,1,19,11,14,34,35.58797,-14.51145,Mangochi-DHO
Mulomba Health Centre,18,44,0,0,7,0,7,0,0,0,2,33,77,9,35.76226,-16.06252,Mulanje-DHO
Muloza Health Centre,85,32,1,1,36,2,38,2,1,0,74,66,101,112,35.71573,-16.08016,Mulanje-DHO
Mulungu Alinafe Health Centre,7,9,0,0,2,0,27,0,2,0,0,16,25,2,35.76603,-15.93038,Phalombe-DHO
Mvera Mission Health Centre,9,0,0,0,3,0,6,0,7,2,10,13,13,13,34.12876,-13.73673,Dowa-DHO
Mvera Support Battalion Health Centre,31,11,0,0,18,0,19,0,0,2,0,27,38,18,34.1398,-13.77963,Dowa-DHO
Mwandama Health Centre,8,22,0,0,14,2,37,0,2,0,7,12,34,23,35.18803,-15.49803,Zomba-DHO
Mwanga Health Centre,1,0,0,0,3,1,6,0,0,0,8,3,3,12,35.81566,-15.55919,Phalombe-DHO
Mwangala Health Centre,30,2,1,0,12,0,8,0,0,0,3,29,31,15,33.9234,-13.48744,Dowa-DHO
Mwansambo Health Centre,12,12,0,0,9,0,2,0,0,0,11,25,37,20,34.11877,-13.30698,Nkhotakota-DHO
Mwanza District Hospital,243,165,21,8,110,6,184,0,53,4,74,273,446,190,34.49142,-15.46467,Mwanza-DHO
Mwanza Illovo Clinic,4,2,2,0,2,0,1,0,0,0,1,10,12,3,34.68896,-16.22357,#N/A
Mwazisi Health Centre,9,0,0,0,8,0,1,0,0,0,3,9,9,11,33.5792,-10.94356,Rumphi-DHO
Mzalangwe Health Centre,5,1,1,0,5,0,1,0,0,0,2,8,9,7,33.5651,-11.61228,Mzimba-South-DHO
Mzambazi Rural Hospital,6,8,1,0,12,0,3,0,2,3,5,2,10,17,33.45031,-11.42764,Mzimba-South-DHO
Mzandu Health Centre,46,1,0,0,10,0,5,0,0,0,27,19,20,37,34.02738,-13.48916,Ntchisi-DHO
Mzenga Health Centre,11,1,0,0,3,0,0,0,4,0,1,16,17,4,34.07401,-11.73249,Nkhata-Bay-DHO
